video_block,time,salient_variable,video_path,start_time_s,end_time_s
Sesame India 2,0:12,"face (child), hands, trashcan, face (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,12.0,20.0
Sesame India 2,0:20,face (muppet),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,20.0,23.0
Sesame India 2,0:23,faces (children),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,23.0,26.0
Sesame India 2,0:26,"face (child), face (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,26.0,30.0
Sesame India 2,0:30,face (child),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,30.0,33.0
Sesame India 2,0:33,"face (child), face (muppet), hands (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,33.0,35.0
Sesame India 2,0:35,"Apple slices, hands, face (child)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,35.0,38.0
Sesame India 2,0:38,"face (person), hands, feet",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,38.0,41.0
Sesame India 2,0:41,"face (child), hands, book",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,41.0,49.0
Sesame India 2,0:49,"face (muppet), faces (children)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,49.0,55.0
Sesame India 2,0:55,"face (muppet), hand (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,55.0,59.0
Sesame India 2,0:59,faces (children),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,59.0,60.84
Pixar Birds,0:00,"face (small bird), feet (small bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,0.0,4.0
Pixar Birds,0:04,"faces (small birds), feet (small birds), tail",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,4.0,7.0
Pixar Birds,0:07,"faces (small birds), wings (small bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,7.0,10.0
Pixar Birds,0:10,"faces (small birds), wings (small bird), wire",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,10.0,26.0
Pixar Birds,0:26,"face (big bird), wing (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,26.0,29.0
Pixar Birds,0:29,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,29.0,31.0
Pixar Birds,0:31,"face (big bird), wing (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,31.0,34.0
Pixar Birds,0:34,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,34.0,44.0
Pixar Birds,0:44,face (big bird),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,44.0,49.0
Pixar Birds,0:49,"birds (small), bird (big), wire, field",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,49.0,52.0
Pixar Birds,0:52,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,52.0,54.0
Pixar Birds,0:54,"face (big bird), wings (big bird), wire, ",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,54.0,58.0
Pixar Birds,0:58,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,58.0,60.0
Pixar Birds,1:00,"faces (small birds), feet (big bird), wings (big bird), face (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,60.0,68.0
Pixar Birds,1:08,"faces (small birds), face (big bird), feet (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,68.0,71.0
Pixar Birds,1:11,face (big bird),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,71.0,73.0
Pixar Birds,1:13,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,73.0,75.0
Pixar Birds,1:15,"faces (small birds), face (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,75.0,79.0
Pixar Birds,1:19,"face (big bird), wings (big bird), feet (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,79.0,81.0
Pixar Birds,1:21,"faces (small birds), feet (big bird), wire",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,81.0,85.0
Pixar Birds,1:25,"faces (small birds), feet (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,85.0,97.0
Pixar Birds,1:37,"faces (small birds), feet (big bird), face (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,97.0,99.0
Pixar Birds,1:39,face (big bird),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,99.0,103.0
Pixar Birds,1:43,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,103.0,107.0
Pixar Birds,1:47,"small birds, big bird, wire, field",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,107.0,108.0
Pixar Birds,1:48,"faces (small birds), feet (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,108.0,111.0
Pixar Birds,1:51,faces (small birds),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,111.0,119.0
Pixar Birds,1:59,feathers,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,119.0,122.0
Pixar Birds,2:02,"Face (big bird), body (big bird), feet (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,122.0,126.0
Pixar Birds,2:06,"face (big bird), feathers",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,126.0,133.0
Pixar Birds,2:13,Face (small bird),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,133.0,134.0
Pixar Birds,2:14,"face (small bird), face (big bird), wing (big bird), leaf",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,134.0,140.0
Pixar Birds,2:20,"faces (small birds), face (big bird), wing (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,140.0,149.0
Pixar Birds,2:29,"face (big bird), wings (big bird)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,149.0,150.15
